pl_BM_3,pl_BM_6,pl_CRW_6
804.0,1608.0,1608.0
807.0,1614.0,1614.0
810.0,1620.0,1620.0
813.0,1626.0,1626.0
816.0,1632.0,1632.0
819.0,1638.0,1638.0
822.0,1644.0,1644.0
825.0,1650.0,1650.0
828.0,1656.0,1656.0
831.0,1662.0,1662.0
834.0,1668.0,1668.0
837.0,1674.0,1674.0
840.0,1680.0,1680.0
843.0,1686.0,1686.0
846.0,1692.0,1692.0
849.0,1698.0,1698.0
852.0,1704.0,1704.0
855.0,1710.0,1710.0
858.0,1716.0,1716.0
861.0,1722.0,1722.0
864.0,1728.0,1728.0
